compound_id,molecular_weight,logP,tpsa,hbd,hba,rotatable_bonds,aromatic_rings,logS,dose_mg,particle_size_um,ph_stability,formulation_type,bioavailability_percent
CMPD-0849,309.85,1.41,55.34,2,3,6,3,-2.53,100,8.03,6.69,tablet,57.34
CMPD-0850,321.59,1.53,91.78,1,1,7,3,-4.38,25,23.56,6.53,tablet,55.56
CMPD-0851,311.45,1.51,10,1,2,4,4,-3.21,50,64.8,5.98,capsule,67.41
CMPD-0852,318.9,4,164.22,1,4,3,0,-4.4,10,31.18,7.56,capsule,42.6
CMPD-0853,309.89,0.51,93.59,3,3,9,3,-5.16,50,61.98,6.16,tablet,27.49
CMPD-0854,510.79,2.9,80.21,6,6,7,3,-2.77,50,25.9,6.72,suspension,59.18
CMPD-0855,536.26,4.69,116.35,2,4,6,1,-1.93,400,27.06,8.41,solution,38.6
CMPD-0856,317.22,1.58,157.03,0,3,11,3,-1.94,10,8.7,4.77,tablet,46.11
CMPD-0857,288.44,1.21,105.48,0,1,1,0,-3.86,100,14.04,3.78,tablet,55.65
CMPD-0858,431.86,2.09,108.21,3,5,7,3,-6.76,200,4.4,6.91,capsule,56.88
CMPD-0859,319.26,4.62,79.57,3,4,7,0,-3.37,5,29.08,7.2,tablet,40.26
CMPD-0860,449.62,2.85,70.05,4,3,4,0,-1.6,100,54.38,9,capsule,53.6
CMPD-0861,402.32,1.54,58.35,2,3,4,1,-5.47,5,9.6,6.54,capsule,52.68
CMPD-0862,213.27,3.37,46.09,0,3,2,2,-0.83,5,38.75,6.29,tablet,74.5
CMPD-0863,550.23,0.52,50.95,2,4,6,1,-6.59,5,25.05,5.87,suspension,23.15
CMPD-0864,577.55,3.73,27.73,3,5,5,5,-2.9,25,31.24,7.8,capsule,54.89
CMPD-0865,312.59,3.24,72.34,2,6,6,3,-2.26,100,17.52,7.11,suspension,58.74
CMPD-0866,337.35,1.95,16.04,1,6,9,5,-1.3,50,50.99,7.48,suspension,64.76
CMPD-0867,411.45,0.99,81.68,2,3,6,2,-2.81,400,20.92,6.83,tablet,38.43
CMPD-0868,416.79,0.9,73.73,2,2,6,3,-3.99,25,7.66,7.53,capsule,43.55
CMPD-0869,452.44,3.46,80.14,1,1,7,4,-3.25,400,5.51,8.19,capsule,57.6
CMPD-0870,601.12,4.71,56.73,1,6,6,1,-4.52,10,20.98,7.22,tablet,36.66
CMPD-0871,360.54,1.35,182.69,4,5,8,4,-6.48,10,25.25,5.85,tablet,31.08
CMPD-0872,292.19,3.33,122.6,2,3,2,0,-3.86,5,38.66,5.34,capsule,36.86
CMPD-0873,228.27,-1.26,31.44,4,6,5,1,-2.76,25,28.97,6.69,capsule,11.9
CMPD-0874,299.6,1.45,83.15,1,4,10,0,-1.96,200,68.5,8.32,solution,62.11
CMPD-0875,376.36,2.44,53.72,1,3,3,3,-4.23,400,5.39,6.75,capsule,52.61
CMPD-0876,577.4,0.86,39.49,3,6,6,2,-1.28,200,28.93,4.51,capsule,47.05
CMPD-0877,323.06,0.81,28.1,2,1,6,2,-3.75,25,28.2,8.63,solution,61.69
CMPD-0878,404.62,1.3,90.13,1,3,7,2,-2.78,10,10.04,7.05,capsule,61.16
CMPD-0879,378.19,3.03,51.15,1,3,3,4,-2.38,50,33.75,6.39,solution,57.73
CMPD-0880,510.72,2.16,108.87,1,5,10,1,-3.42,100,12.57,6.3,suspension,45.92
CMPD-0881,657.96,-1.53,109.78,1,2,4,3,-3.64,100,51.19,3.73,capsule,1
CMPD-0882,321.6,-1.32,123.09,0,6,5,2,-1.16,5,88.32,5.51,capsule,11.82
CMPD-0883,326.16,1.41,45.17,3,7,1,0,-6.05,400,36.54,5.49,capsule,40.71
CMPD-0884,494.86,3.32,91.64,4,4,4,1,-3.44,5,15.68,7.25,capsule,47.85
CMPD-0885,455.01,-2,97.14,1,3,4,0,-6.25,5,24.51,6.25,capsule,1
CMPD-0886,583.14,1.6,58.4,3,4,6,0,-6.2,10,4.95,7.81,capsule,32.04
CMPD-0887,444.23,1.55,47.99,0,2,2,2,-3.58,10,67.34,3.91,solution,57.89
CMPD-0888,340.48,5,131.33,3,6,5,3,-4.29,200,40.22,9,tablet,24.31
CMPD-0889,444.97,1.81,82.96,1,1,5,2,-0.38,100,54.62,7.99,solution,68.53
CMPD-0890,501.96,3.19,97.26,2,3,5,2,-3.88,200,77.69,7.01,tablet,39.3
CMPD-0891,470.25,2.75,46.23,3,3,7,5,-1.8,200,24.82,6.08,solution,58.62
CMPD-0892,435.8,-1.34,32.33,2,4,7,1,-3.42,5,2.49,7.45,tablet,9.47
CMPD-0893,497.33,3.88,55.07,1,5,6,0,-5.3,200,51.76,6.61,tablet,28.71
CMPD-0894,508.62,2.89,70.66,1,2,4,2,-6.14,25,18.28,6.26,tablet,36.47
CMPD-0895,532.04,3.41,37.75,2,9,5,3,-5.55,200,40.08,7.4,tablet,35.81
CMPD-0896,451.36,8,74.66,1,6,2,1,-3.01,400,19.65,7.54,tablet,1
CMPD-0897,361.62,-1.25,15.9,2,8,4,0,-1.1,50,43.77,6.93,capsule,28.98
CMPD-0898,396.14,5.6,35.8,2,2,9,2,-4.87,10,21.31,5.93,tablet,11.61
CMPD-0899,512.72,1.98,98.48,3,11,6,1,-2.24,200,22.36,6.36,capsule,47.3
CMPD-0900,290.14,3.02,96.13,5,9,4,2,-3.77,400,21.05,4.88,tablet,50.66
CMPD-0901,420.55,2.42,61.28,2,4,8,1,-5.1,5,66.67,4.82,solution,52.91
CMPD-0902,336.73,1.74,39.38,2,5,5,1,-2.97,400,55.75,5.78,capsule,48.68
CMPD-0903,383.16,1.47,39.04,1,5,8,2,-1.11,5,54.29,7.66,tablet,55.89
CMPD-0904,520.63,3.09,61.94,4,11,3,3,-3.61,10,22.15,6.64,tablet,54.11
CMPD-0905,401.02,-0.23,97.56,2,4,3,1,-2.26,100,26.76,7.64,capsule,40.88
CMPD-0906,385.11,3.85,107.49,2,2,3,2,-3.04,100,21.19,8.05,capsule,45.58
CMPD-0907,230.42,1.75,57.62,0,6,5,2,-3.03,400,51.21,6.93,capsule,51.3
CMPD-0908,462.09,0.47,34.63,1,4,8,4,-4.7,100,13.59,5.26,suspension,41.37
CMPD-0909,451,1.69,84.37,1,3,9,1,-2.76,100,24.28,7.48,tablet,52.88
CMPD-0910,617.96,4.76,46.18,1,2,7,1,-5.69,25,10.6,5.14,capsule,35.93
CMPD-0911,346.14,1.54,56.86,2,2,4,2,-2.96,5,53.96,5.86,capsule,54.73
CMPD-0912,404.11,3.15,121.38,3,1,6,0,-1.44,100,15.85,8.13,suspension,47.99
CMPD-0913,407.43,1.18,103.95,3,3,7,1,-0.79,400,35.71,6.49,capsule,48.46
CMPD-0914,553.52,3.86,80.53,4,2,2,1,-5.06,400,1.05,7.05,tablet,32.58
CMPD-0915,369.52,3.73,30.48,3,2,3,0,-2.84,400,14.27,4.05,suspension,37.24
CMPD-0916,410.69,5.83,82.4,1,7,2,4,-4.56,100,21.2,6.12,capsule,15.51
CMPD-0917,446.87,2.18,112.19,3,5,4,1,-3.29,200,20.35,6.84,suspension,55.98
CMPD-0918,400.53,3.7,61.85,1,5,5,5,-0.62,400,60.27,6.61,solution,67.69
CMPD-0919,330.89,2.68,122.29,2,6,6,2,-2.18,50,13.91,7.45,tablet,52.66
CMPD-0920,401.35,4.83,120.25,0,2,4,2,-4.48,50,63.55,5.74,tablet,30.01
CMPD-0921,498.1,1.21,133.23,1,7,0,2,-4.56,400,33.44,7.88,tablet,32.87
CMPD-0922,267.08,3.84,85.68,1,3,6,4,-3.47,5,56,5.95,tablet,46.75
CMPD-0923,394.63,2.15,95.56,4,0,4,0,-3.37,200,3.6,6.53,capsule,57.6
CMPD-0924,302.99,2.38,124.5,1,9,3,0,-3.3,10,34.99,5.31,solution,67.75
CMPD-0925,511.46,2.67,90.66,2,4,5,4,-5.73,100,86.83,7.16,tablet,42.41
CMPD-0926,212.45,2.95,57.46,2,4,6,1,-0.5,25,24.23,5.59,capsule,61.69
CMPD-0927,318.52,2.29,59.3,1,4,4,4,-0.35,50,23.36,6.82,suspension,66.93
CMPD-0928,421.49,2.89,83.35,3,2,5,2,-2.78,100,17.37,7.48,tablet,61.71
CMPD-0929,552.21,5.34,29.83,4,2,4,2,-4.81,10,25.43,7.61,tablet,21.86
CMPD-0930,372.77,4.27,69.99,0,4,4,0,-4.44,25,19.86,9,tablet,39.18
CMPD-0931,318.93,4.06,113.38,2,10,4,2,-4.91,50,21.87,6.51,tablet,38.84
CMPD-0932,586.93,1.68,10,2,5,1,2,-5.05,200,24.26,6.13,solution,44.25
CMPD-0933,220.72,0.9,128.71,5,1,6,2,-4.45,10,72.99,5.75,capsule,30.31
CMPD-0934,138.13,4.22,114.28,2,4,5,3,-2.87,10,17.34,7.24,solution,51.61
CMPD-0935,428.4,4.08,58.91,2,3,4,3,-3.31,200,32.35,6.35,tablet,51.08
CMPD-0936,324.77,5.15,94.02,4,7,6,3,-1.21,25,26.1,5.49,capsule,33.62
CMPD-0937,267.66,1.41,75.11,1,4,5,4,-5.78,25,14.23,5.45,capsule,51.5
CMPD-0938,457.92,2.09,118.05,4,3,1,2,-4.82,50,100.53,8.01,tablet,40.33
CMPD-0939,406.82,-0.45,109.39,3,3,3,3,-6.5,25,28.5,7.56,tablet,6.38
CMPD-0940,317.95,1.79,26,6,3,6,2,-3.28,100,28.97,8.09,capsule,61.29
CMPD-0941,239.17,4.29,95.55,0,2,5,1,-1.1,25,34.94,4.79,suspension,50.61
CMPD-0942,475.97,1.66,67.8,3,1,2,4,-4.21,200,23.85,6.07,suspension,46.56
CMPD-0943,451.52,3.65,77.9,1,4,6,4,-1.45,10,22.29,5.4,suspension,54.04
CMPD-0944,369.09,2.16,49.51,1,4,6,5,-2.46,25,23.34,6.66,tablet,64.64
CMPD-0945,583.13,3.08,136.18,2,5,4,3,-2.2,400,13.9,5.55,capsule,40.21
CMPD-0946,262.29,0.43,111.4,2,2,5,4,-2.62,50,10.75,8.18,solution,47.33
CMPD-0947,212.19,2.65,49.11,1,5,2,1,-0.8,100,0.53,6.07,capsule,75.26
CMPD-0948,303.89,-2,28.29,2,1,9,2,-3.8,25,16.29,8.73,tablet,1
CMPD-0949,374.99,2.16,61.5,3,3,4,3,-2.47,100,19.9,7.53,capsule,61.55
CMPD-0950,406.77,-0.43,90.21,2,3,2,1,-0.73,25,28.69,7.59,tablet,51.05
CMPD-0951,353.46,4.67,83.41,2,5,1,1,-5.03,100,38.03,8.57,capsule,32.36
CMPD-0952,418.73,3.9,118.86,4,3,5,2,-3.82,400,6.69,6.58,solution,49.14
CMPD-0953,242.33,3.34,102.65,1,4,2,2,-2.64,25,5.71,7.51,solution,59.38
CMPD-0954,538.81,5.24,108.93,0,5,8,3,-4.79,25,38.4,6.88,capsule,17.56
CMPD-0955,370.96,0.79,86.44,3,5,6,2,-4.85,5,70.41,5.55,tablet,36.7
CMPD-0956,502.9,5.65,26.37,2,5,4,3,-0.46,10,46.44,5.74,suspension,43.04
CMPD-0957,417.7,4.18,68.15,5,4,3,1,-4.72,50,20.86,6.26,tablet,28.06
CMPD-0958,430.24,2.07,112.1,3,3,8,1,-4.05,50,11.05,7.04,tablet,47.79
CMPD-0959,442.67,4.54,73.2,7,5,0,0,-3.18,5,23.03,7.4,tablet,28.66
CMPD-0960,429.25,0.51,92.61,1,6,4,2,-2.86,25,5.7,7.17,capsule,42.03
CMPD-0961,450.7,1.02,63.84,4,8,2,5,-4.32,10,108.11,7.19,capsule,33.36
CMPD-0962,526.21,1.4,38.96,1,5,7,0,-3.81,100,13.84,6.17,suspension,44.58
CMPD-0963,401.62,1.55,70.68,2,2,2,1,-5,5,31.84,3.84,tablet,46.95
CMPD-0964,457.99,0.6,85.82,4,0,4,1,-4.33,50,8.25,7.42,capsule,32.43
CMPD-0965,370.13,4.7,52.05,2,3,5,1,-2.46,50,45.95,5.54,tablet,23.42
CMPD-0966,538.41,2.03,66.75,0,3,7,2,-2.14,200,40.39,9,capsule,49.64
CMPD-0967,305.6,3.13,42.12,2,9,1,3,-1.97,400,16.72,6.91,tablet,53.89
CMPD-0968,578.1,1.47,114.17,2,2,5,2,-3.51,200,18.53,8.15,solution,46.05
CMPD-0969,375.58,-0.78,64.69,0,5,6,0,-3.8,50,18.1,5.18,suspension,20.03
CMPD-0970,222.61,2.99,125.85,1,5,2,2,-5.46,25,14.59,7.86,tablet,51.18
CMPD-0971,394.09,-0.94,128.51,3,3,3,1,-4.03,200,52.44,7.36,capsule,14.43
CMPD-0972,305.08,2.38,72.16,0,1,1,2,-3.24,100,27.02,6.95,capsule,56.59
CMPD-0973,472.47,0.04,39.7,1,4,7,3,-1.87,100,29.49,5.24,tablet,45.45
CMPD-0974,308.21,6.08,10,1,3,3,2,-6.4,100,40.73,5.65,tablet,17.52
CMPD-0975,330.92,4.14,23.48,2,11,6,2,-4.01,25,37.11,7.29,capsule,41.71
CMPD-0976,172.15,2.69,26.92,0,3,4,1,-6.9,400,12.6,5.66,tablet,48.31
CMPD-0977,330.25,4.77,123.25,0,4,4,0,-5.91,50,75.61,5.5,tablet,34.53
CMPD-0978,120,0.98,79.05,0,2,9,1,-1.52,200,29.79,5.89,suspension,55.26
CMPD-0979,205.77,3.48,88.64,3,2,11,1,-5.45,400,26.9,7.1,capsule,45.15
CMPD-0980,463.65,2.86,10,3,5,8,0,-3.34,400,22.8,8.21,solution,57.54
CMPD-0981,466.44,2.98,33.07,0,4,7,5,-1.96,200,16.12,7,solution,71.76
CMPD-0982,426.8,4.79,106.05,2,3,5,3,-4.2,50,8.54,7.96,tablet,36.02
CMPD-0983,273.63,3.82,85.04,3,4,5,3,-5.34,25,27.7,6.33,tablet,39.23
CMPD-0984,374.75,3.02,69.85,5,4,8,0,-3.32,10,46.03,8.95,tablet,46.37
CMPD-0985,379.6,-0.48,94.77,3,5,6,1,-1.16,25,44.08,8.1,suspension,36.93
CMPD-0986,252.58,0.77,132.25,1,2,5,4,-2.01,25,25.96,7.57,tablet,54.92
CMPD-0987,545.37,2.28,67.26,3,7,6,0,-3.87,50,89.94,7.05,capsule,45.73
CMPD-0988,476.51,2.67,77.43,2,8,4,3,-4.34,100,54.53,6.98,capsule,43.75
CMPD-0989,355.69,0.47,81.74,0,4,5,2,-1.77,400,12.95,4.71,tablet,54.54
CMPD-0990,382.96,6.84,158.72,2,5,4,2,-5.69,50,17.38,4.65,capsule,1
CMPD-0991,402.92,5.23,10,4,1,3,2,-2.09,200,19.57,7.28,tablet,48.13
CMPD-0992,155.41,3.58,98.91,3,7,5,4,-4.3,10,12.08,6.59,tablet,39.23
CMPD-0993,352.81,2.63,70.98,2,3,7,1,-5.73,5,22.86,7.17,tablet,45.6
CMPD-0994,304.98,2.12,94.84,3,6,6,2,-6.15,200,6.51,5.14,suspension,42.87
CMPD-0995,269.82,0.79,51.99,3,2,8,0,-1.05,5,47.16,8.33,suspension,60.95
CMPD-0996,349.08,2.64,73.29,1,5,6,4,-3.8,25,35.15,6.26,tablet,48.71
CMPD-0997,577.75,2.96,99.9,1,2,6,2,-4.84,5,26.31,6.96,capsule,39.44
CMPD-0998,450.49,0.26,183.95,5,4,4,4,-3.57,400,16.24,5.9,capsule,29.13
CMPD-0999,317.17,3.1,103.28,2,6,3,3,-4.36,200,23.2,6.89,tablet,48.01
CMPD-1000,442.98,2.22,45.32,4,6,5,4,-4.31,100,17.25,9,capsule,49.13
CMPD-1001,533.93,-0.93,60.17,4,6,8,0,-4.24,50,150,7.89,tablet,1
CMPD-1002,481.71,0.95,59.13,2,6,6,4,-3.49,10,10.73,5.82,tablet,46.93
CMPD-1003,386.56,1.76,12.15,2,6,5,3,-2.36,10,11.82,5.29,solution,71.03
CMPD-1004,308.84,5.9,63.45,3,3,6,1,-5.79,10,13.35,6.93,capsule,22.94
CMPD-1005,456.8,3.5,100.65,4,4,9,1,-1.47,200,16.07,6.1,tablet,40.72
CMPD-1006,423.28,0.1,30.4,1,4,9,5,-4.92,200,100.13,5.69,tablet,19.86
CMPD-1007,478.47,3.37,111.7,2,4,6,1,-3.12,50,18.96,8.89,tablet,44.37
CMPD-1008,449.87,-0.29,92.07,1,2,4,0,-3.59,100,10.47,4.13,solution,43.01
CMPD-1009,495.45,4.45,49.3,6,4,5,2,-4.71,10,37.83,7.35,solution,32.82
CMPD-1010,321.12,1.65,70.05,2,4,4,3,-1.8,5,6.1,8.83,capsule,53.63
CMPD-1011,524.91,2.33,130.94,2,5,3,2,-4.69,100,15.47,5.11,tablet,37.57
CMPD-1012,401.74,4.89,100.67,1,6,10,3,-1.37,100,6.68,6,capsule,40.44
CMPD-1013,608.28,0.18,75.31,4,5,3,2,-2.5,200,10.85,6.11,suspension,33.8
CMPD-1014,304.19,-0.01,66.68,2,4,7,2,-4.62,200,0.55,8.43,tablet,26.13
CMPD-1015,570.96,1.45,77.68,3,7,9,3,-5.3,100,44.24,6.46,solution,35.15
CMPD-1016,401.77,4.37,57.09,1,8,2,2,-1.9,10,50.48,8.96,capsule,47.1
CMPD-1017,308.34,-0.23,10,4,4,7,3,-5.21,100,22.69,7.52,solution,31.1
CMPD-1018,326.77,-2,146.48,4,8,3,3,-3.7,200,20.86,6.08,capsule,1
CMPD-1019,344.76,1.69,80.44,0,6,8,0,-2.45,10,19.8,5.15,solution,66.06
CMPD-1020,426.66,3.49,88.94,8,9,8,3,-2.8,5,27.86,5.29,capsule,33.96
CMPD-1021,437.51,4.66,72.97,3,8,4,0,-3.8,200,36.2,7.3,tablet,28.76
CMPD-1022,316.89,1.67,49.27,2,1,6,2,-4.59,5,62.94,9,tablet,47.62
CMPD-1023,377.32,1.76,68.49,3,3,4,4,-2.42,5,27.83,5.93,capsule,58.09
CMPD-1024,615.65,4.58,19.02,0,7,4,1,-6.32,200,17.44,5.73,capsule,28.98
CMPD-1025,570.03,-0.87,154.7,2,5,5,3,-3.11,200,55.27,7.29,tablet,2.9
CMPD-1026,428,1.8,31.79,2,1,5,0,-5.45,5,5.98,6.26,solution,57.08
CMPD-1027,384.18,2.84,38.88,1,8,7,2,-4.82,100,83.74,5.94,solution,52.27
CMPD-1028,393.2,3.31,59.59,3,2,3,3,-2.95,100,23.82,8.36,solution,69.99
CMPD-1029,447.49,1.58,120.08,2,6,3,3,-4.62,400,34.86,8.33,suspension,40.69
CMPD-1030,267.49,2.56,75.51,2,1,2,4,-1.76,10,46.84,6.84,capsule,60.79
CMPD-1031,351.69,-1.98,31.74,2,2,3,2,-2.44,400,48.81,5.72,capsule,1
CMPD-1032,196.46,1.32,118.9,3,9,3,1,-4.55,5,61.92,6.97,suspension,49.95
CMPD-1033,423.91,3.32,100.59,3,4,4,5,-3.84,25,15.63,7.73,capsule,47.08
CMPD-1034,451.19,0.73,93.85,3,1,3,2,-5.16,5,18.05,8.12,capsule,39.47
CMPD-1035,326.85,2.61,100.05,1,3,6,2,-2.79,50,20.66,7.85,capsule,62.47
CMPD-1036,553.14,3.3,158.8,2,3,6,2,-1.15,25,29.43,3.39,suspension,43.61
CMPD-1037,245.17,1.88,151.48,3,2,7,2,-5.29,50,24.08,7.09,tablet,38.39
CMPD-1038,218.92,2.81,50.96,0,2,8,1,-3.22,25,41.51,7.42,tablet,60.17
CMPD-1039,404.69,0.77,131.84,3,5,4,4,-3.01,200,18.86,7.61,capsule,53.62
CMPD-1040,495.18,2.13,88.41,1,7,4,1,-5.38,10,8.81,6.93,tablet,39.67
CMPD-1041,565.23,3.6,92.47,1,6,5,4,-5.01,400,3.95,6.55,solution,41.33
CMPD-1042,329.52,2.78,15.77,0,4,6,5,-6.21,100,70.07,6.15,solution,62.62
CMPD-1043,498.65,1.44,69.04,2,7,7,3,-2.66,10,3.14,5.55,tablet,50.55
CMPD-1044,375.76,2.9,46.55,3,9,10,3,-4.04,25,25.25,5.74,tablet,42.64
CMPD-1045,361.01,3.79,103.98,2,3,3,1,-4.59,5,31.22,8.16,tablet,35.07
CMPD-1046,477.2,-1.19,112.49,4,4,3,3,-0.4,10,22.58,7.36,tablet,14.01
CMPD-1047,451.76,4.59,10,1,2,4,4,-6.2,25,109.86,7.49,tablet,43.84
CMPD-1048,206.6,1.89,74.23,2,2,2,3,-1.57,5,78.16,5.82,solution,66.74
CMPD-1049,542.42,3.27,114.27,1,9,1,1,-6.73,100,5.7,7.14,tablet,39.63
CMPD-1050,531.81,4.66,68.47,2,6,4,2,-4.28,25,30.2,8.71,tablet,23.81
CMPD-1051,311.19,0.03,100.52,4,10,6,3,-6.05,50,18.39,6.67,tablet,26.24
CMPD-1052,423.54,1.22,87.29,0,4,4,2,-4.73,50,15.44,7.45,tablet,51.32
CMPD-1053,434.34,1.98,86.96,3,5,6,2,-4.31,50,5.43,5.89,tablet,45.57
CMPD-1054,408.67,1.09,65.5,1,3,5,1,-4.56,5,23.09,6.03,solution,61.27
CMPD-1055,319.47,5.62,32.42,2,3,3,1,-3.12,400,37.44,6.84,tablet,28.18
CMPD-1056,306.12,0.96,35.75,1,3,5,0,-2.18,5,2.55,5.67,capsule,71.01
CMPD-1057,377.19,1.5,99.83,2,4,10,1,-3.67,400,20.7,5.6,solution,49.56
CMPD-1058,509,2.87,75.68,3,3,2,1,-3.01,10,1.23,6.3,solution,58.59
CMPD-1059,439.8,0.34,70.15,3,0,8,4,-1.16,5,67.36,6.74,tablet,45.47
CMPD-1060,339.23,1.79,60.16,1,5,4,0,-4.55,25,47.08,5.77,tablet,43.6
CMPD-1061,464.89,3.07,64.32,1,4,6,0,-2.14,50,36.07,6.71,tablet,56.91
CMPD-1062,120,1.9,111.64,3,6,2,0,0,400,35.03,5.15,capsule,54.43
CMPD-1063,506.36,2.33,63.27,5,5,4,0,-0.78,100,54.9,6.7,tablet,58.96
CMPD-1064,188.63,1.55,28.06,1,5,7,2,-1.06,200,20.25,4.23,capsule,67.07
CMPD-1065,340.13,-0.23,101.03,3,7,6,3,-2.41,50,16.86,7.8,capsule,26.73
CMPD-1066,256.84,3.08,67.83,1,4,3,5,-1.77,25,62.9,4.64,capsule,58.6
CMPD-1067,237.59,5.66,76.1,1,4,4,0,-4.23,200,28.4,8.37,capsule,29.97
CMPD-1068,507.69,2.53,131.27,2,5,4,0,-3.62,100,53.44,7.01,tablet,55.5
CMPD-1069,328.55,2.91,74.28,0,3,7,1,-3.8,10,30.2,7.21,tablet,56.18
CMPD-1070,418.12,3.75,85.12,2,3,5,0,-4.5,5,19.55,5.97,tablet,49.53
CMPD-1071,374.84,0.22,33.74,2,4,7,1,-3.28,25,9.82,7.15,tablet,45.74
CMPD-1072,432.47,5.56,67.31,1,6,4,2,-4.29,200,34.23,6.73,tablet,25.65
CMPD-1073,388.45,2.86,96.33,4,6,3,0,-3.41,5,5.16,5.12,tablet,35.02
CMPD-1074,238.87,5.44,20.56,5,3,3,4,-5.57,400,30.55,7.42,suspension,18.85
CMPD-1075,489.59,1.18,82.03,2,1,3,2,-4.3,10,7.92,5.5,solution,61.66
CMPD-1076,325.69,5.77,78.53,1,5,3,1,-1.53,100,59.43,9,solution,30.64
CMPD-1077,208.78,3.9,76.45,2,5,4,1,-3.21,200,122.89,5.56,solution,51.29
CMPD-1078,332.91,3.5,111.3,3,5,6,4,-1.5,25,26.85,4.56,solution,71.62
CMPD-1079,545.08,2.92,86.71,0,3,4,5,-4.41,400,58.49,8.53,tablet,39.37
CMPD-1080,473.52,2.05,126.73,1,1,11,1,-3.87,100,44.04,7.43,tablet,44.58
CMPD-1081,341.65,4.66,40.22,5,4,3,2,-3.18,200,7.53,7.05,tablet,43.17
CMPD-1082,341.58,2.75,79.76,3,4,6,1,-3.79,200,16.44,5.84,solution,64.96
CMPD-1083,344.62,-1.04,77.96,0,1,1,2,-5.59,25,24.1,6.58,solution,29.03
CMPD-1084,608.44,0.49,37.58,4,5,10,1,-2.65,10,28.35,6.31,tablet,30.04
CMPD-1085,422.01,2.17,108.47,2,3,4,1,-4.98,10,23.22,7.57,suspension,49.15
CMPD-1086,427.3,3.06,156.36,2,0,5,2,-3.52,10,34.74,5.79,tablet,46.01
CMPD-1087,493.33,2.4,74.4,1,1,3,2,-6.7,5,82.29,5.9,capsule,47.66
CMPD-1088,406.27,4.69,92.68,4,2,6,1,-4.47,400,6.68,7.37,capsule,30.39
CMPD-1089,351.51,-1.01,77.96,1,4,11,2,-3.69,50,22.64,8.09,tablet,15.25
CMPD-1090,358.4,2.76,50.02,1,3,6,4,-2.66,100,96.5,6.04,capsule,53.9
CMPD-1091,372.12,-0.77,11.27,3,0,3,3,-5.35,25,23.77,7.28,capsule,35.13
CMPD-1092,375.91,3.87,50.3,2,6,2,0,-4.84,100,11.81,7.75,capsule,41.48
CMPD-1093,460.04,2.33,26.28,2,2,5,2,-0.85,50,37.3,5.4,tablet,74.87
CMPD-1094,385.71,3.26,134.64,1,4,7,0,-0.55,5,15.93,6.17,solution,64.92
CMPD-1095,460.59,0.95,70.97,2,2,3,2,-2.73,5,61.71,4.44,capsule,51.92
CMPD-1096,371.12,4.8,62.89,2,3,1,0,-1.58,50,43.92,8.97,tablet,45.67
CMPD-1097,388.65,4.38,106.12,1,6,9,2,-4.09,200,2.13,6.79,solution,37.83
CMPD-1098,160.2,3.55,35.74,2,5,6,4,-2.52,25,13.34,7.59,capsule,55.7
CMPD-1099,480.8,2.27,48.16,1,1,6,3,-2.6,50,57.73,6.03,tablet,62.28
CMPD-1100,418.11,3.54,77.38,3,2,3,3,-4.91,5,20.8,5.91,tablet,39
CMPD-1101,489.78,1.23,111.01,0,3,4,1,-3.21,200,24.32,6.37,tablet,30.95
CMPD-1102,120,4.04,92.56,1,4,6,2,-3.94,5,63.31,6.29,solution,42.9
CMPD-1103,609.72,5.47,83.69,2,7,2,3,-2.95,200,62.46,9,tablet,16.1
CMPD-1104,364.65,4.43,77.73,3,4,7,5,-4.3,100,17.45,6.98,capsule,32.87
CMPD-1105,501.9,1.19,89.01,3,2,8,0,-5.68,25,16.73,7.31,tablet,35.48
CMPD-1106,265.61,3.15,82.06,0,3,5,1,-3.47,25,11.73,6.53,solution,70.27
CMPD-1107,447.41,0.17,38.95,1,5,6,1,-2.25,5,62.06,6.6,tablet,44.33
CMPD-1108,264.12,3.53,76.61,2,2,3,2,-2.25,50,56.71,7.32,solution,67.76
CMPD-1109,311.39,3.31,37.42,0,6,6,2,-6.16,5,4.42,6.46,capsule,63.19
CMPD-1110,590.54,-0.87,77.84,2,3,6,2,-3.23,100,53.92,8.18,tablet,20.31
CMPD-1111,359.02,0.41,58.18,3,2,5,4,-2.47,50,17.27,5.51,capsule,39.98
CMPD-1112,403.92,1.99,163.88,2,7,8,0,-3.29,5,61.32,7.96,capsule,46.09
CMPD-1113,475.71,1.96,73.6,4,4,7,1,-2.2,200,1.87,7.9,tablet,52.45
CMPD-1114,434.53,0.32,25.85,2,2,5,0,-5.62,400,29.75,9,capsule,24.71
CMPD-1115,396.55,3.2,70.3,2,7,2,1,-5.22,200,21.13,4.41,solution,47.83
CMPD-1116,420.15,2.95,93.18,0,5,2,4,-2.62,25,48.2,7.8,capsule,46.89
CMPD-1117,644.38,2.15,133.57,0,3,9,1,-4.02,100,12.56,5.7,capsule,37.54
CMPD-1118,373.66,1.14,54.37,2,2,4,0,-1.74,400,53.79,7.57,tablet,56.26
CMPD-1119,402.12,4.39,19.62,1,4,5,5,-3.04,5,53.29,7.57,solution,61.7
CMPD-1120,495.57,5.48,103.59,1,2,11,3,-4.84,5,44.74,5.47,tablet,28.13
CMPD-1121,501.61,1.63,26.68,3,3,3,2,-4.92,200,4.94,7.36,capsule,51.52
CMPD-1122,510.57,1.4,59.73,2,3,3,2,-6.32,400,15.4,6.09,tablet,39.13
CMPD-1123,450.26,3.38,65.98,4,2,4,3,-2.47,200,51.01,5.67,capsule,60.64
